ExitSpeed,Angle,PitchCall,TaggedHitType,PlayResult,Outcome
63.43988,30.831586,InPlay,FlyBall,Out,Out
64.20515,38.255782,InPlay,FlyBall,Sacrifice,Out
64.11609,14.136609,InPlay,LineDrive,Single,Single
66.45655,-5.845507,InPlay,GroundBall,Single,Single
78.00991,26.438583,InPlay,FlyBall,Homerun,Homerun
65.23022,-12.185055,InPlay,GroundBall,Error,Out
46.03284,31.518507,InPlay,LineDrive,Single,Single
58.5388,-9.046794,InPlay,GroundBall,Out,Out
43.35282,36.015361,InPlay,Popup,Out,Out
60.16193,35.549888,InPlay,FlyBall,Out,Out
61.71603,-9.028014,InPlay,SlapHit,Out,Out
30.21485,20.603101,InPlay,GroundBall,Error,Out
41.46607,-17.884815,InPlay,GroundBall,Out,Out
62.34082,41.91244,InPlay,FlyBall,Out,Out
70.09416,13.583241,InPlay,LineDrive,Out,Out
56.6301,0.434629,InPlay,GroundBall,Fielderschoice,Out
45.36319,11.616873,InPlay,GroundBall,Out,Out
49.08866,28.701949,InPlay,FlyBall,Out,Out
53.92883,33.23129,InPlay,FlyBall,Out,Out
61.75002,40.64307,InPlay,FlyBall,Out,Out
63.27335,-18.405163,InPlay,SlapHit,Out,Out
58.88343,18.572627,InPlay,FlyBall,Single,Single
70.40303,-16.574006,InPlay,GroundBall,Out,Out
54.16574,-37.665027,InPlay,GroundBall,Error,Out
62.31457,36.482345,InPlay,FlyBall,Out,Out
54.4646,28.203413,InPlay,LineDrive,Out,Out
49.46224,-13.924165,InPlay,GroundBall,Single,Single
45.95532,-57.553439,InPlay,SlapHit,Single,Single
46.81993,-10.263524,InPlay,GroundBall,Fielderschoice,Out
37.01745,-8.582861,InPlay,GroundBall,Single,Single
59.73246,-18.68861,InPlay,GroundBall,Out,Out
61.9751,19.297919,InPlay,FlyBall,Out,Out
65.31234,-8.865935,InPlay,GroundBall,Out,Out
56.7549,22.252442,InPlay,FlyBall,Double,XBH
66.60185,6.312146,InPlay,LineDrive,Out,Out
38.78264,54.13015,InPlay,Popup,Out,Out
52.99883,7.583458,InPlay,LineDrive,Single,Single
63.28826,-20.800306,InPlay,GroundBall,Out,Out
72.40822,8.226228,InPlay,LineDrive,Single,Single
63.36999,19.109814,InPlay,FlyBall,Out,Out
46.97336,-63.814602,InPlay,SlapHit,Error,Out
63.16583,35.74512,InPlay,FlyBall,Out,Out
70.87433,41.328564,InPlay,FlyBall,Out,Out
65.87027,49.166348,InPlay,FlyBall,Out,Out
72.51181,-9.869959,InPlay,GroundBall,Out,Out
77.617,11.448807,InPlay,LineDrive,Double,XBH
75.74194,0.791664,InPlay,GroundBall,Out,Out
75.74471,2.281586,InPlay,LineDrive,Single,Single
49.26242,-20.175702,InPlay,GroundBall,Out,Out
51.98734,48.859008,InPlay,FlyBall,Out,Out
39.14452,-43.874512,InPlay,GroundBall,Out,Out
67.33503,47.199889,InPlay,FlyBall,Out,Out
59.56372,-19.744968,InPlay,GroundBall,Out,Out
69.66538,-19.984097,InPlay,GroundBall,Out,Out
50.81327,10.954333,InPlay,GroundBall,Single,Single
65.31546,22.348767,InPlay,FlyBall,Out,Out
54.37729,-19.682687,InPlay,GroundBall,Error,Out
61.80594,-6.11108,InPlay,GroundBall,Out,Out
46.19104,-14.915786,InPlay,GroundBall,Out,Out
70.95985,-4.266047,InPlay,GroundBall,Double,XBH
59.68866,-13.095105,InPlay,GroundBall,Out,Out
61.60846,-17.040352,InPlay,GroundBall,Out,Out
49.30623,19.72531,InPlay,LineDrive,Out,Out
63.8111,16.23014,InPlay,LineDrive,Single,Single
65.83869,38.29831,InPlay,FlyBall,Out,Out
56.06486,37.75741,InPlay,FlyBall,Out,Out
50.36502,49.0762,InPlay,FlyBall,Out,Out
55.19227,7.771847,InPlay,GroundBall,Out,Out
39.32567,30.590306,InPlay,Popup,Out,Out
20.78878,-68.746154,InPlay,GroundBall,Out,Out
61.01888,30.778058,InPlay,FlyBall,Out,Out
68.51964,11.559337,InPlay,LineDrive,Single,Single
56.35523,24.132847,InPlay,LineDrive,Single,Single
60.8046,29.764457,InPlay,FlyBall,Out,Out
45.66609,13.409552,InPlay,GroundBall,Out,Out
59.80171,44.487534,InPlay,FlyBall,Out,Out
71.79802,-13.497832,InPlay,GroundBall,Out,Out
73.28793,19.483444,InPlay,LineDrive,Double,XBH
61.38971,-12.931828,InPlay,LineDrive,Single,Single
50.7096,23.553542,InPlay,FlyBall,Single,Single
72.93096,4.039095,InPlay,LineDrive,Single,Single
66.815,31.672554,InPlay,FlyBall,Out,Out
59.89039,30.22953,InPlay,FlyBall,Single,Single
48.06094,10.917156,InPlay,GroundBall,Single,Single
57.70702,30.951795,InPlay,FlyBall,Out,Out
60.92153,63.115685,InPlay,Popup,Out,Out
41.89473,10.250809,InPlay,LineDrive,Single,Single
73.30327,-5.61913,InPlay,GroundBall,Single,Single
67.126,7.193789,InPlay,LineDrive,Double,XBH
58.13579,-0.881089,InPlay,GroundBall,Out,Out
65.95165,15.917042,InPlay,LineDrive,Single,Single
62.31288,18.58706,InPlay,LineDrive,Single,Single
39.48373,4.775278,InPlay,GroundBall,Out,Out
62.35858,35.717575,InPlay,FlyBall,Out,Out
60.14459,16.09761,InPlay,GroundBall,Single,Single
57.21066,26.696655,InPlay,FlyBall,Out,Out
71.46622,15.204215,InPlay,LineDrive,Double,XBH
52.5462,60.55705,InPlay,Popup,Out,Out
49.88716,25.28593,InPlay,FlyBall,Single,Single
66.6424,7.771915,InPlay,LineDrive,Out,Out
58.37249,-30.209273,InPlay,GroundBall,Out,Out
74.28577,34.601903,InPlay,FlyBall,Out,Out
73.23959,-1.86498,InPlay,GroundBall,Single,Single
56.86111,70.180743,InPlay,Popup,Out,Out
62.38264,13.727574,InPlay,LineDrive,Double,XBH
42.84928,-25.66095,InPlay,GroundBall,Out,Out
53.45762,4.461145,InPlay,GroundBall,Single,Single
63.81602,11.345101,InPlay,LineDrive,Single,Single
69.48458,-6.235461,InPlay,GroundBall,Single,Single
54.42804,25.785626,InPlay,LineDrive,Single,Single
77.58098,-1.689829,InPlay,GroundBall,Single,Single
60.20069,36.862547,InPlay,FlyBall,Out,Out
63.07589,-3.924323,InPlay,GroundBall,Single,Single
67.00519,21.428187,InPlay,LineDrive,Double,XBH
69.55389,3.880406,InPlay,GroundBall,Out,Out
56.21703,-3.142585,InPlay,GroundBall,Single,Single
57.286,58.708874,InPlay,Popup,Out,Out
38.56379,35.566434,InPlay,Popup,Out,Out
61.9224,3.664556,InPlay,GroundBall,Single,Single
53.26172,55.634513,InPlay,FlyBall,Out,Out
69.34536,-3.11262,InPlay,GroundBall,Single,Single
45.41356,-8.270282,InPlay,GroundBall,Out,Out
55.5746,-18.133162,InPlay,GroundBall,Out,Out
30.57448,-12.523042,InPlay,GroundBall,Out,Out
63.55756,19.214999,InPlay,FlyBall,Single,Single
59.35075,30.478999,InPlay,FlyBall,Out,Out
62.77016,-11.167141,InPlay,GroundBall,Single,Single
56.21066,23.190006,InPlay,FlyBall,Single,Single
65.04462,21.943394,InPlay,LineDrive,Out,Out
60.04395,-27.440882,InPlay,GroundBall,Out,Out
67.58602,5.090612,InPlay,GroundBall,Single,Single
44.18098,-19.745875,InPlay,GroundBall,Fielderschoice,Out
60.29969,6.035219,InPlay,LineDrive,Single,Single
72.76754,27.736327,InPlay,FlyBall,Homerun,Homerun
78.79819,6.852206,InPlay,LineDrive,Double,XBH
70.13465,-7.356371,InPlay,GroundBall,Out,Out
54.22509,-20.080814,InPlay,GroundBall,Single,Single
